id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,gene,cancer,gene,cell
"SLC22A5_T cell, CD4, TH1 TH17",Wald_ratio,1,5.43E-05,0.000146383,NA,NA,0.710897616,NA,NA,NA,NA,NA,NA,NA,-0.000232654,0.000341168,1.000054258,0.999767373,1.000341226,0.961359841,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD4, TH1 TH17"
"SLC22A5_T cell, CD8, naive",Wald_ratio,1,5.75E-05,0.000155032,NA,NA,0.710897616,NA,NA,NA,NA,NA,NA,NA,-0.0002464,0.000361326,1.000057464,0.99975363,1.000361391,0.961359841,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD8, naive"
"SLC22A5_T cell, CD4, memory TREG",Wald_ratio,1,5.22E-05,0.000140795,NA,NA,0.710897616,NA,NA,NA,NA,NA,NA,NA,-0.000223772,0.000328143,1.000052187,0.999776253,1.000328197,0.961359841,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD4, memory TREG"
"SLC22A5_T cell, CD4, naive",Wald_ratio,1,5.36E-05,0.000144538,NA,NA,0.710897616,NA,NA,NA,NA,NA,NA,NA,-0.000229721,0.000336868,1.000053575,0.999770305,1.000336924,0.961359841,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD4, naive"
"GTF2A2_Monocyte, non-classical",Wald_ratio,1,-0.000429468,0.000172671,NA,NA,0.012875258,NA,NA,NA,NA,NA,NA,NA,-0.000767904,-9.10E-05,0.999570624,0.999232391,0.999908972,0.734731514,GTF2A2,Bladder cancer,GTF2A2,"Monocyte, non-classical"
"DNMT3B_T cell, CD4, naive TREG",Wald_ratio,1,1.18E-05,0.000145593,NA,NA,0.935427761,NA,NA,NA,NA,NA,NA,NA,-0.000273566,0.000297158,1.000011796,0.999726471,1.000297202,0.994864628,DNMT3B,Bladder cancer,DNMT3B,"T cell, CD4, naive TREG"
"CTD-2540F13.2_NK cell, CD56dim CD16+",Wald_ratio,1,8.26E-05,0.000262679,NA,NA,0.753281446,NA,NA,NA,NA,NA,NA,NA,-0.000432286,0.000597414,1.000082567,0.999567807,1.000597593,0.970091804,CTD-2540F13.2,Bladder cancer,CTD-2540F13.2,"NK cell, CD56dim CD16+"
"NSUN2_Monocyte, non-classical",Wald_ratio,1,5.99E-05,0.000119395,NA,NA,0.615720033,NA,NA,NA,NA,NA,NA,NA,-0.000174087,0.000293942,1.000059929,0.999825928,1.000293985,0.961249275,NSUN2,Bladder cancer,NSUN2,"Monocyte, non-classical"
"LAMC1_B cell, naive",Wald_ratio,1,-0.000153992,0.000155191,NA,NA,0.321062197,NA,NA,NA,NA,NA,NA,NA,-0.000458166,0.000150182,0.999846019,0.999541938,1.000150193,0.934388355,LAMC1,Bladder cancer,LAMC1,"B cell, naive"
"CASP8_T cell, CD4, TH2",Wald_ratio,1,-2.10E-05,0.000128589,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000273014,0.000231055,0.999979021,0.999727024,1.000231082,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, TH2"
