id,gene,cell,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4,ldcheck
"RP11-617D20.1_T cell, CD4, naive activated",RP11-617D20.1,"T cell, CD4, naive activated",Wald_ratio,1,-0.000463244,9.09E-05,NA,NA,3.45E-07,NA,NA,NA,NA,NA,NA,NA,-0.00064138,-0.000285107,0.999536864,0.999358826,0.999714933,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, naive activated_Brain cancer_ieu-b-4875",0.934795218,1
"RP11-617D20.1_NK cell, CD56dim CD16+",RP11-617D20.1,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.000449336,8.82E-05,NA,NA,3.45E-07,NA,NA,NA,NA,NA,NA,NA,-0.000622124,-0.000276548,0.999550765,0.999378069,0.99972349,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_NK cell, CD56dim CD16+_Brain cancer_ieu-b-4875",0.001244021,1
"RTEL1-TNFRSF6B_Monocyte, non-classical",RTEL1-TNFRSF6B,"Monocyte, non-classical",Wald_ratio,1,-0.000511941,0.000121595,NA,NA,2.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.000750268,-0.000273614,0.99948819,0.999250014,0.999726423,0.024087056,Brain cancer,ieu-b-4875,"RTEL1-TNFRSF6B_Monocyte, non-classical_Brain cancer_ieu-b-4875",0.321371427,1
"RP11-617D20.1_T cell, CD8, naive",RP11-617D20.1,"T cell, CD8, naive",Wald_ratio,1,-0.000411818,8.19E-05,NA,NA,5.01E-07,NA,NA,NA,NA,NA,NA,NA,-0.000572417,-0.00025122,0.999588266,0.999427747,0.999748812,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD8, naive_Brain cancer_ieu-b-4875",0.003070241,1
"RP11-617D20.1_T cell, CD4, memory TREG",RP11-617D20.1,"T cell, CD4, memory TREG",Wald_ratio,1,-0.000389925,7.76E-05,NA,NA,5.01E-07,NA,NA,NA,NA,NA,NA,NA,-0.000541985,-0.000237864,0.999610151,0.999458162,0.999762164,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, memory TREG_Brain cancer_ieu-b-4875",0.035903579,1
"RP11-617D20.1_T cell, CD4, TFH",RP11-617D20.1,"T cell, CD4, TFH",Wald_ratio,1,-0.000379751,7.56E-05,NA,NA,5.01E-07,NA,NA,NA,NA,NA,NA,NA,-0.000527844,-0.000231658,0.999620321,0.999472296,0.999768369,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, TFH_Brain cancer_ieu-b-4875",0.033862439,1
"RP11-617D20.1_T cell, CD4, naive TREG",RP11-617D20.1,"T cell, CD4, naive TREG",Wald_ratio,1,-0.000355613,7.08E-05,NA,NA,5.01E-07,NA,NA,NA,NA,NA,NA,NA,-0.000494293,-0.000216933,0.99964445,0.999505829,0.99978309,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, naive TREG_Brain cancer_ieu-b-4875",0.936695388,1
"AC021860.1_T cell, CD4, TH17",AC021860.1,"T cell, CD4, TH17",Wald_ratio,1,-0.00039671,7.79E-05,NA,NA,3.52E-07,NA,NA,NA,NA,NA,NA,NA,-0.000549376,-0.000244045,0.999603368,0.999450775,0.999755985,0.000504382,Brain cancer,ieu-b-4875,"AC021860.1_T cell, CD4, TH17_Brain cancer_ieu-b-4875",0.023111365,0.99340491
"AC021860.1_T cell, CD4, memory TREG",AC021860.1,"T cell, CD4, memory TREG",Wald_ratio,1,-0.000397333,7.80E-05,NA,NA,3.52E-07,NA,NA,NA,NA,NA,NA,NA,-0.000550239,-0.000244428,0.999602745,0.999449913,0.999755602,0.000504382,Brain cancer,ieu-b-4875,"AC021860.1_T cell, CD4, memory TREG_Brain cancer_ieu-b-4875",0.035914411,0.99340491
"AC021860.1_T cell, CD4, TH1 TH17",AC021860.1,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.000418208,8.21E-05,NA,NA,3.52E-07,NA,NA,NA,NA,NA,NA,NA,-0.000579147,-0.00025727,0.999581879,0.999421021,0.999742763,0.000504382,Brain cancer,ieu-b-4875,"AC021860.1_T cell, CD4, TH1 TH17_Brain cancer_ieu-b-4875",0.12826614,0.99340491
"AC021860.1_T cell, CD4, naive TREG",AC021860.1,"T cell, CD4, naive TREG",Wald_ratio,1,-0.000409761,8.05E-05,NA,NA,3.52E-07,NA,NA,NA,NA,NA,NA,NA,-0.000567449,-0.000252074,0.999590323,0.999432712,0.999747958,0.000504382,Brain cancer,ieu-b-4875,"AC021860.1_T cell, CD4, naive TREG_Brain cancer_ieu-b-4875",0.936694036,0.99340491
"RP11-617D20.1_T cell, CD4, TH2",RP11-617D20.1,"T cell, CD4, TH2",Wald_ratio,1,-0.000346609,6.88E-05,NA,NA,4.63E-07,NA,NA,NA,NA,NA,NA,NA,-0.000481369,-0.00021185,0.999653451,0.999518747,0.999788172,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, TH2_Brain cancer_ieu-b-4875",0.925423726,1
"AC021860.1_T cell, CD4, TH1",AC021860.1,"T cell, CD4, TH1",Wald_ratio,1,-0.000382501,7.59E-05,NA,NA,4.63E-07,NA,NA,NA,NA,NA,NA,NA,-0.000531215,-0.000233787,0.999617572,0.999468926,0.99976624,0.000504382,Brain cancer,ieu-b-4875,"AC021860.1_T cell, CD4, TH1_Brain cancer_ieu-b-4875",0.117081262,1
"RP11-617D20.1_T cell, CD4, naive",RP11-617D20.1,"T cell, CD4, naive",Wald_ratio,1,-0.000402953,7.78E-05,NA,NA,2.25E-07,NA,NA,NA,NA,NA,NA,NA,-0.000555499,-0.000250406,0.999597128,0.999444655,0.999749625,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, naive_Brain cancer_ieu-b-4875",0.002240596,1
"RP11-617D20.1_T cell, CD4, TH1",RP11-617D20.1,"T cell, CD4, TH1",Wald_ratio,1,-0.000409065,7.90E-05,NA,NA,2.25E-07,NA,NA,NA,NA,NA,NA,NA,-0.000563925,-0.000254204,0.999591019,0.999436234,0.999745828,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, TH1_Brain cancer_ieu-b-4875",0.116756126,1
